title,artist,year,chart_position,weeks_on_chart,tempo,energy,loudness,danceability,acousticness,speechiness,instrumentalness,valence
just my imagination,the temptations,1971,9,1,89.10290948275862,0.5765333993094308,-19.82133102416992,0.1741601675748825,0.2012375006294101,0.2951388955116272,0.5572916567325592,0.6776700573249403
tired of being alone,al green,1971,12,1,99.38401442307692,0.604703848702567,-18.835365295410156,0.310590535402298,0.0,0.153109535574913,0.7703356966376305,0.2053350863613925
want ads,the honey cone,1971,13,1,95.703125,0.4405051095145089,-24.582321166992188,0.3022826611995697,0.0,1.0,0.0,0.6646077183314733
treat her like a lady,cornelius brothers & sister rose,1971,15,1,89.10290948275862,0.6131434849330357,-18.53997802734375,0.307594895362854,0.0,0.659500002861023,0.0107499957084655,0.1849920744496613
brown sugar,the rolling stones,1971,16,1,129.19921875,0.6559396471296038,-17.042112350463867,0.2362989336252212,0.0,0.3099467754364013,0.535079836845398,0.7794719696044923
youve got a friend,james taylor,1971,17,1,95.703125,0.3545071193150111,-27.59225082397461,0.2148996442556381,0.3891196097153732,0.2572541832923889,0.6141187250614166,0.1474081202915736
mr big stuff,jean knight,1971,18,1,92.28515625,0.5497718811035156,-20.757984161376953,0.3692149221897125,0.0,0.691858172416687,0.0,0.6791368538992746
do you know what i mean,lee michaels,1971,19,1,107.666015625,0.5326537540980748,-21.357118606567383,0.2563634216785431,0.0,0.4872040748596191,0.2691938877105713,0.7086722128731864
the night they drove old dixie down,joan baez,1971,20,1,129.19921875,0.5047916957310268,-22.332290649414062,0.2662190496921539,0.0,0.1303175687789917,0.8045236468315125,0.7492423793247768
whats going on,marvin gaye,1971,21,1,99.38401442307692,0.3655723026820591,-27.20496940612793,0.212011381983757,0.0,0.4113775789737701,0.3829336315393448,0.657508777157291
uncle albertadmiral halsey,paul & linda mccartney,1971,22,1,143.5546875,0.452509035382952,-24.16218376159668,0.2109044641256332,0.0,0.3710598349571228,0.4434102475643158,0.7695475660051618
signs,five man electrical band,1971,24,1,172.265625,0.6127335684640067,-18.55432510375977,0.2198019027709961,0.0,0.6211040616035461,0.0683439075946807,0.8631159101213728
shes a lady,tom jones,1971,25,1,123.046875,0.5483482905796596,-20.80780982971191,0.2626068890094757,0.0,0.5419191122055054,0.1871213316917419,0.2447701045445033
amos moses,jerry reed,1971,28,1,103.359375,0.4892440795898437,-22.87645721435547,0.3329722285270691,0.0,0.5156981945037842,0.2264527082443237,0.6907617623465402
superstar,carpenters,1971,30,1,80.74951171875,0.4094219752720424,-25.670230865478516,0.1629186123609542,0.1648279841038586,0.0723414197564125,0.8914878703653812,0.1263476344517299
my sweet lordisnt it a pity,george harrison,1971,31,1,123.046875,0.507261712210519,-22.245840072631836,0.2029832601547241,0.0,0.4948600828647613,0.2577098757028579,0.2365527888706752
put your hand in the hand,ocean,1971,33,1,135.99917763157896,0.4288782392229353,-24.989261627197266,0.3312355279922485,0.0,0.3596082627773285,0.4605876058340072,0.7486310284836848
for all we know,carpenters,1971,35,1,135.99917763157896,0.587147467476981,-19.449838638305664,0.195721760392189,0.0,0.0604982636868953,0.9092526044696568,0.780284874134494
if you could read my mind,gordon lightfoot,1971,36,1,123.046875,0.4296611785888672,-24.96185874938965,0.2087401896715164,0.1439233384033912,0.0548715777695179,0.9176926333457232,0.7210326821463449
help me make it through the night,sammi smith,1971,37,1,78.30255681818181,0.467439705984933,-23.639610290527344,0.2084957510232925,0.0,0.3654051125049591,0.4518923312425613,0.6327077058073762
never can say goodbye,jackson 5,1971,40,1,161.4990234375,0.6000333513532367,-18.99883270263672,0.2225673943758011,0.0,0.5394715666770935,0.1907926499843597,0.8375045776367188
rose garden,lynn anderson,1971,41,1,129.19921875,0.5251746586390904,-21.618886947631836,0.2197614908218383,0.0,1.0,0.0,0.7533189719063895
dont pull your love,"hamilton, joe frank & reynolds",1971,42,1,99.38401442307692,0.7428722926548549,-13.999469757080078,0.2282113581895828,0.0,0.4822844862937927,0.2765732705593109,0.7329687751518501
it dont come easy,ringo starr,1971,43,1,117.45383522727272,0.2548803056989397,-31.07918930053711,0.1962336897850036,0.0,0.8850876092910767,0.0,0.6740914223410867
mr bojangles,nitty gritty dirt band,1971,44,1,161.4990234375,0.5702572413853236,-20.040996551513672,0.2610927224159241,0.0,0.5083526968955994,0.2374709546566009,0.8315493556431361
whatcha see is whatcha get,the dramatics,1971,46,1,151.99908088235293,0.5632022312709264,-20.287921905517575,0.2816067039966583,0.0,0.5799692273139954,0.1300461590290069,0.8097813338592272
thats the way ive always heard it should be,carly simon,1971,47,1,135.99917763157896,0.2522015707833426,-31.172945022583008,0.1710738539695739,0.0,0.1586258262395858,0.7620612606406212,0.2132956947957662
if you really love me,stevie wonder,1971,48,1,123.046875,0.5763180868966239,-19.828866958618164,0.2251744419336319,0.0,0.3813106119632721,0.4280340820550918,0.7503640638078962
spanish harlem,aretha franklin,1971,49,1,112.34714673913044,0.5222754887172154,-21.72035789489746,0.3011241555213928,0.0,0.7703729867935181,0.0,0.7166275550415797
bridge over troubled water,aretha franklin,1971,52,1,151.99908088235293,0.4005887712751116,-25.979393005371097,0.2109779119491577,0.0379193274226116,0.7328438758850098,0.0,0.7772586418600643
draggin the line,tommy james,1971,54,1,112.34714673913044,0.5507681165422712,-20.723115921020508,0.3068037033081054,0.0,0.3952701985836029,0.4070947021245956,0.7223260806065909
proud mary,ike & tina turner,1971,55,1,95.703125,0.2279976981026785,-32.02008056640625,0.294114738702774,0.0,0.3160491585731506,0.525926262140274,0.6221062360491072
beginningscolour my world,chicago,1971,56,1,161.4990234375,0.5895806993756976,-19.364675521850582,0.2160538583993911,0.1002582734348003,0.0560462921857833,0.9159305617213248,0.8354140472412109
sweet city woman,stampeders,1971,58,1,172.265625,0.6240186963762556,-18.159345626831055,0.3273980021476745,0.0,0.5544440150260925,0.1683339774608612,0.8653729357038226
if,bread,1971,61,1,95.703125,0.4254473549979073,-25.10934257507324,0.1936002373695373,0.2472502794847956,0.0602920949459075,0.9095618575811386,0.661596167428153
mercy mercy me,marvin gaye,1971,62,1,184.5703125,0.644488034929548,-17.44291877746582,0.2279434949159622,0.0,0.1346437036991119,0.7980344444513321,0.395833990914481
bring the boys home,freda payne,1971,65,1,123.046875,0.4307510375976562,-24.92371368408203,0.2170995324850082,0.0,0.3534302413463592,0.4698546379804611,0.7212506539481027
i just want to celebrate,rare earth,1971,66,1,117.45383522727272,0.6635886601039341,-16.774396896362305,0.2699633538722992,0.0,0.5593241453170776,0.1610137820243835,0.2558330932220855
never ending song of love,delaney & bonnie & friends,1971,67,1,92.28515625,0.4792393275669643,-23.22662353515625,0.2281062602996826,0.0,0.5068415403366089,0.2397376894950866,0.6650303431919643
easy loving,freddie hart,1971,68,1,99.38401442307692,0.3967038835797991,-26.11536407470703,0.1873368620872497,0.0,1.0,0.0,0.663735093336839
liar,three dog night,1971,69,1,107.666015625,0.6406279972621373,-17.578020095825195,0.1945437341928482,0.0,0.364590436220169,0.4531143456697464,0.730267061505999
stickup,the honey cone,1971,70,1,99.38401442307692,0.3612959180559431,-27.354642868041992,0.2630681991577148,0.0,0.5768054723739624,0.1347917914390564,0.6566535002320678
wild world,cat stevens,1971,73,1,151.99908088235293,0.5505983080182757,-20.72905921936035,0.2796903550624847,0.0,0.2246024757623672,0.6630962863564491,0.3072605492086971
when youre hot youre hot,jerry reed,1971,74,1,99.38401442307692,0.6221176692417689,-18.22588157653809,0.3172850310802459,0.0,0.4176776707172394,0.3734834939241409,0.708817850469233
if not for you,olivia newton-john,1971,76,1,117.45383522727272,0.448083005632673,-24.317094802856445,0.2173744589090347,0.0,0.6055966019630432,0.0916050970554351,0.7127319623278333
groove me,king floyd,1971,77,1,103.359375,0.5859834398542132,-19.49057960510254,0.3421244621276855,0.0,0.96964693069458,0.0,0.710109634399414
watching scotty grow,bobby goldsboro,1971,78,1,184.5703125,0.5224185943603515,-21.715349197387695,0.2334017306566238,0.0,0.2256322056055069,0.6615516915917397,0.8714201028006417
woodstock,matthews' southern comfort,1971,79,1,123.046875,0.450899178641183,-24.218528747558594,0.2073030024766922,0.197920410837502,0.6540197134017944,0.0189704298973083,0.7252802821568081
amazing grace,judy collins,1971,80,1,107.666015625,0.3381862095424107,-28.163482666015625,0.2263970375061035,0.0,0.1509119719266891,0.7736320421099663,0.1697787039620535
lonely days,bee gees,1971,82,1,143.5546875,0.2831027439662388,-30.09140396118164,0.1509760320186615,0.0,0.1561038047075271,0.7658442929387093,0.2356663077218191
trapped by a thing called love,denise lasalle,1971,85,1,92.28515625,0.5809191567557198,-19.667829513549805,0.2703002095222473,0.0,0.0952356085181236,0.8571465872228146,0.6853663090297154
mamas pearl,jackson 5,1971,86,1,103.359375,0.6628003801618304,-16.801986694335938,0.2545202076435089,0.0,0.6147633194923401,0.0778550207614898,0.2254730224609375
i woke up in love this morning,the partridge family,1971,88,1,135.99917763157896,0.6396258762904576,-17.613094329833984,0.2204163074493408,0.0,0.3665467798709869,0.4501798301935196,0.2907805558971892
if i were your woman,gladys knight and the pips,1971,90,1,73.828125,0.5444690159388951,-20.943584442138672,0.1943090409040451,0.0,0.4273317754268646,0.359002336859703,0.6385254996163505
wedding song,paul stookey,1971,92,1,89.10290948275862,0.4707538059779576,-23.523616790771484,0.2043685168027877,0.0781225323938594,0.2640613615512848,0.6039079576730728,0.6565141386586457
here comes the sun,richie havens,1971,95,1,129.19921875,0.583054951259068,-19.593076705932617,0.2613706290721893,0.0,0.334148108959198,0.498777836561203,0.7648950304303851
sweet mary,wadsworth mansion,1971,96,1,117.45383522727272,0.6256251198904855,-18.103120803833008,0.2627988159656524,0.0,0.1546466648578643,0.7680300027132034,0.7482403851793958
right on the tip of my tongue,brenda & the tabulations,1971,97,1,151.99908088235293,0.6339733123779296,-17.81093406677246,0.2222523093223571,0.0,0.2244233340024948,0.6633649989962578,0.8239355500806279
riders on the storm,the doors,1971,99,1,107.666015625,0.0677853175571986,-37.62751388549805,0.1673222184181213,0.0,0.944720447063446,0.0,0.1156985255650111
its impossible,perry como,1971,100,1,135.99917763157896,0.481744875226702,-23.13892936706543,0.1825326681137085,0.0,0.2896628379821777,0.5655057430267334,0.7592043556844381
alone again,gilbert o'sullivan,1972,2,1,86.1328125,0.544547598702567,-20.940834045410156,0.2810098230838775,0.0,0.4291057586669922,0.3563413619995117,0.6649084036690849
american pie,don mclean,1972,3,1,112.34714673913044,0.346484375,-27.873046875,0.205205425620079,0.0,0.3266342282295227,0.5100486576557159,0.1814693322981366
without you,nilsson,1972,4,1,63.02400914634146,0.1514277866908482,-34.70002746582031,0.1891423463821411,0.0,0.7550802230834961,0.0,0.0367655769374727
i gotcha,joe tex,1972,6,1,92.28515625,0.3994669233049665,-26.018657684326172,0.3438129127025604,0.0,1.0,0.0,0.1490758623395647
lean on me,bill withers,1972,7,1,143.5546875,0.1619950430733817,-34.33017349243164,0.1567298024892807,0.147236199244493,0.3767752349376678,0.4348371475934982,0.7114447675432478
baby dont get hooked on me,mac davis,1972,8,1,80.74951171875,0.2698220934186663,-30.55622673034668,0.2513255774974823,0.0,0.1574752330780029,0.7637871503829956,0.5984276580810547
brand new key,melanie,1972,9,1,161.4990234375,0.5830623081752232,-19.592819213867188,0.2652188539505005,0.0,0.603089451789856,0.095365822315216,0.8341103690011161
daddy dont you walk so fast,wayne newton,1972,10,1,143.5546875,0.2275434221540178,-32.035980224609375,0.1792063266038894,0.2331127185364995,0.1367589086294174,0.7948616370558739,0.724554443359375
lets stay together,al green,1972,11,1,99.38401442307692,0.5872320992606027,-19.446876525878903,0.2911220788955688,0.0,0.2108649164438247,0.6837026253342628,0.7018407364729997
brandy,looking glass,1972,12,1,123.046875,0.4588753836495535,-23.939361572265625,0.25150927901268,0.0,1.0,0.0,0.7268755231584821
oh girl,chi-lites,1972,13,1,135.99917763157896,0.5337859562465123,-21.31749153137207,0.2228095382452011,0.0,0.1856888681650161,0.7214666977524757,0.7696125718884003
nice to be with you,gallery,1972,14,1,129.19921875,0.5702210562569755,-20.04226303100586,0.2439154833555221,0.0,0.5137775540351868,0.2293336689472198,0.7623282514299665
my dingaling,chuck berry,1972,15,1,129.19921875,0.6270127977643695,-18.05455207824707,0.2147911041975021,0.0,0.0981172323226928,0.8528241515159607,0.7736865997314454
heart of gold,neil young,1972,17,1,172.265625,0.4584835052490234,-23.95307731628418,0.2289646714925766,0.0131390461347229,0.1408718377351761,0.7886922433972359,0.3322658974783761
betcha by golly wow,the stylistics,1972,18,1,143.5546875,0.4200879233224051,-25.29692268371582,0.1779344528913498,0.0,0.2379099577665329,0.6431350633502007,0.2630633435930524
ill take you there,the staple singers,1972,19,1,99.38401442307692,0.4084102630615234,-25.70564079284668,0.3016392290592193,0.0,0.7514983415603638,0.0,0.6660763692331838
ben,michael jackson,1972,20,1,135.99917763157896,0.4915606362479073,-22.79537773132324,0.1970915794372558,0.0830007533265406,0.2462748289108276,0.6305877566337585,0.7611675078886793
slippin into darkness,war,1972,23,1,184.5703125,0.2945984431675502,-29.689054489135746,0.2002905458211898,0.0,0.5865232348442078,0.1202151477336883,0.3258560725620814
a horse with no name,america,1972,26,1,117.45383522727272,0.432622800554548,-24.85820198059082,0.2392339706420898,0.0,0.3640671372413635,0.4538992941379547,0.2096399213122083
song sung blue,neil diamond,1972,27,1,107.666015625,0.579679925101144,-19.71120262145996,0.1835986226797104,0.0830247096669561,0.1597481369972229,0.7603777945041656,0.7180774470738003
popcorn,hot butter,1972,28,1,135.99917763157896,0.2299095153808593,-31.95316696166992,0.3184908330440521,0.0,0.3757543563842773,0.436368465423584,0.2088372837152696
everybody plays the fool,the main ingredient,1972,29,1,172.265625,0.6193176814488002,-18.323881149291992,0.2787995934486389,0.0,0.2167345583438873,0.674898162484169,0.8644327327183314
precious and few,climax,1972,30,1,103.359375,0.6451028006417411,-17.421401977539062,0.1789075583219528,0.1381163163228652,0.0955451279878616,0.8566823080182076,0.7219335065569197
nights in white satin,the moody blues,1972,32,1,151.99908088235293,0.4241597311837332,-25.154409408569336,0.1780903786420822,0.0,0.3892046511173248,0.4161930233240127,0.2819728338417887
go all the way,raspberries,1972,33,1,135.99917763157896,0.6387038094656808,-17.645366668701172,0.2050056457519531,0.0,0.7274194955825806,0.0,0.790596142532234
too late to turn back now,cornelius brothers & sister rose,1972,34,1,112.34714673913044,0.670434079851423,-16.534807205200195,0.2251463681459427,0.0,0.4666063189506531,0.3000905215740204,0.7462592732684212
back stabbers,the o'jays,1972,35,1,123.046875,0.4727780478341238,-23.452768325805664,0.2381609827280044,0.0207775849631749,0.5860688090324402,0.1208967864513397,0.2296560559953962
sunshine,jonathan edwards,1972,38,1,123.046875,0.4318696158272879,-24.88456344604492,0.2614708840847015,0.0,0.3561474680900574,0.4657787978649139,0.721474369594029
day after day,badfinger,1972,39,1,99.38401442307692,0.625242669241769,-18.11650657653809,0.1876330375671386,0.0,0.4284822642803192,0.3572766035795212,0.7094428504692329
rocket man,elton john,1972,40,1,92.28515625,0.4025046212332589,-25.912338256835938,0.1758490651845932,0.0,0.1084216311573982,0.8373675532639027,0.6496834019252232
rockin robin,michael jackson,1972,41,1,86.1328125,0.6070146833147322,-18.754486083984375,0.3074061572551727,0.0,0.8237073421478271,0.0,0.6774018205915179
