title,artist,year,chart_position,weeks_on_chart,decade,top10
tlc,linear,1992,37,1,,
move this,technotronic featuring ya kid k,1992,38,1,,
save the best for last,vanessa williams,1992,39,1,,
everything about you,ugly kid joe,1992,40,1,,
why,annie lennox,1992,41,1,,
one,u2,1992,42,1,,
honey love,r. kelly & public announcement,1992,44,1,,
sometimes i rhyme slow,nice & smooth,1992,45,1,,
thought id died and gone to heaven,bryan adams,1992,46,1,,
nu nu,lidell townsell,1992,47,1,,
closer to me,the outfield,1992,48,1,,
remedy,the black crowes,1992,49,1,,
the one,elton john,1992,50,1,,
make love like a man,def leppard,1992,51,1,,
mr loverman,shabba ranks,1992,52,1,,
strawberry letter 23,tevin campbell,1992,53,1,,
silent prayer,shanice,1992,54,1,,
make it happen,mariah carey,1992,55,1,,
helluva,brotherhood creed,1992,56,1,,
all youve got,rtz,1992,57,1,,
lift me up,howard jones,1992,58,1,,
james brown is dead,l.a. style,1992,59,1,,
lets get rocked,def leppard,1992,60,1,,
why me baby,keith sweat,1992,61,1,,
scenario,a tribe called quest,1992,62,1,,
fall in love again,eddie money,1992,63,1,,
never satisfied,good 2 go,1992,64,1,,
maria,tka,1992,65,1,,
please dont go,boyz ii men,1992,66,1,,
you remind me,mary j. blige,1992,67,1,,
57 channels,bruce springsteen,1992,68,1,,
twilight zone,2 unlimited,1992,69,1,,
victim of the ghetto,the college boyz,1992,70,1,,
whatever it takes,troop,1992,71,1,,
they reminisce over you,pete rock & c.l. smooth,1992,72,1,,
not the only one,bonnie raitt,1992,73,1,,
everything changes,kathy troccoli,1992,74,1,,
all i want,toad the wet sprocket,1992,75,1,,
please dont go,k.w.s.,1992,76,1,,
stay,shakespear's sister,1992,77,1,,
slowly,stacy earl,1992,78,1,,
everybodys free,rozalla,1992,79,1,,
jump around,house of pain,1992,80,1,,
forever in your eyes,mint condition,1992,81,1,,
brainstorming,m.c. brains,1992,82,1,,
love me,tracie spencer,1992,83,1,,
321 pump,redhead kingpin & the f.b.i.,1992,84,1,,
smells like nirvana,"""weird al"" yankovic",1992,85,1,,
i miss you,joe public,1992,86,1,,
come as you are,nirvana,1992,87,1,,
if you want it,2nd ii none,1992,88,1,,
take time,chris walker,1992,89,1,,
strobelite honey,black sheep,1992,90,1,,
human touchbetter days,bruce springsteen,1992,91,1,,
reach for the sky,firehouse,1992,92,1,,
faces of love,nia peeples,1992,93,1,,
take me in your arms,lil suzy,1992,94,1,,
innocent child,colourhaus,1992,95,1,,
the way i feel,tag,1992,96,1,,
nothing else matters,metallica,1992,97,1,,
you think you know her,cause and effect,1992,98,1,,
so whatcha want,beastie boys,1992,99,1,,
the choice is yours,black sheep,1992,100,1,,
thats the way love goes,janet jackson,1993,1,1,,
weak,swv,1993,2,1,,
knockin da boots,h-town,1993,3,1,,
whoomp,tag team,1993,4,1,,
have i told you lately,rod stewart,1993,5,1,,
show me love,robin s.,1993,6,1,,
cant help falling in love,ub40,1993,7,1,,
dre day,dr. dre,1993,8,1,,
come undone,duran duran,1993,9,1,,
ill never get over you,expose,1993,10,1,,
bad boys,inner circle,1993,11,1,,
freak me,silk,1993,12,1,,
looking through patient eyes,p.m. dawn,1993,13,1,,
dazzey duks,duice,1993,14,1,,
lately,jodeci,1993,15,1,,
whats up,4 non blondes,1993,16,1,,
more and more,captain hollywood project,1993,17,1,,
whoot there it is,95 south,1993,18,1,,
girl ive been hurt,snow,1993,19,1,,
im so into you,swv,1993,20,1,,
nuthin but a g thang,dr. dre,1993,21,1,,
slam,onyx,1993,22,1,,
cant get enough of your love,taylor dayne,1993,23,1,,
if i had no loot,tony! toni! tone!,1993,24,1,,
dont walk away,jade,1993,25,1,,
im gonna be,the proclaimers,1993,26,1,,
three little pigs,green jelly,1993,27,1,,
in these arms,bon jovi,1993,28,1,,
regret,new order,1993,29,1,,
livin on the edge,aerosmith,1993,30,1,,
wannagirl,jeremy jordan,1993,31,1,,
ditty,paperboy,1993,32,1,,
connected,stereo mc's,1993,33,1,,
love is,vanessa williams/brian mcknight,1993,34,1,,
it was a good day,ice cube,1993,35,1,,
by the time this night is over,kenny g,1993,36,1,,
i dont wanna fight,tina turner,1993,37,1,,
two princes,spin doctors,1993,38,1,,
baby im yours,shai,1993,39,1,,
one last cry,brian mcknight,1993,40,1,,
runaway train,soul asylum,1993,41,1,,
back seat,ll cool j,1993,42,1,,
a bad goodbye,clint black,1993,43,1,,
somethings goin on,u.n.v.,1993,44,1,,
one woman,jade,1993,45,1,,
sleeping satellite,tasmin archer,1993,46,1,,
fields of gold,sting,1993,47,1,,
love no limit,mary j. blige,1993,48,1,,
girl u for melose control,silk,1993,49,1,,
comforter,shai,1993,50,1,,
i have nothing,whitney houston,1993,51,1,,
dedicated,r. kelly & public announcement,1993,52,1,,
hero,david crosby & phil collins,1993,53,1,,
six feet deep,geto boys,1993,54,1,,
passin me by,the pharcyde,1993,55,1,,
touch my light,big mountain,1993,56,1,,
abc123,levert,1993,57,1,,
cry no more,ii d extreme,1993,58,1,,
good times with bad boys,boy krazy,1993,59,1,,
run to you,whitney houston,1993,60,1,,
who is it,michael jackson,1993,61,1,,
the floor,johnny gill,1993,62,1,,
dur dur detre bebe,jordy,1993,63,1,,
nothin my love cant fix,joey lawrence,1993,64,1,,
im free,jon secada,1993,65,1,,
get it up,tlc,1993,66,1,,
somebody to love,george michael & queen,1993,67,1,,
deeper,boss,1993,68,1,,
walking in my shoes,depeche mode,1993,69,1,,
if i could,regina belle,1993,70,1,,
little miracles,luther vandross,1993,71,1,,
down with the king,run-d.m.c.,1993,72,1,,
i love the way you love me,john michael montgomery,1993,73,1,,
do da what,1 of the girls,1993,74,1,,
dont take away my heaven,aaron neville,1993,75,1,,
creep,radiohead,1993,76,1,,
every little thing u do,christopher williams,1993,77,1,,
i get around,2pac,1993,78,1,,
if i ever lose my faith in you,sting,1993,79,1,,
tap the bottle,young black teenagers,1993,80,1,,
its on,naughty by nature,1993,81,1,,
big gun,ac/dc,1993,82,1,,
tell me why,wynonna,1993,83,1,,
humps for the blvd,rodney o & joe cooley,1993,84,1,,
lets go through the motions,jodeci,1993,85,1,,
i should be laughing,patty smyth,1993,86,1,,
so alone,men at large,1993,87,1,,
another sad love song,toni braxton,1993,88,1,,
whats up doc,fu-schnickens w/ shaquille o'neal,1993,89,1,,
love u more,sunscreem,1993,90,1,,
love dont love you,en vogue,1993,91,1,,
teddy bear,g-wiz,1993,92,1,,
u dont hear me tho,rodney o & joe cooley,1993,93,1,,
the crying game,boy george,1993,94,1,,
killerpapa was a rollin stone,george michael,1993,95,1,,
alibis,tracy lawrence,1993,96,1,,
shouldve been a cowboy,toby keith,1993,97,1,,
believe,lenny kravitz,1993,98,1,,
typical reasons,prince markie dee and the soul convention,1993,99,1,,
its my life,dr. alban,1993,100,1,,
i swear,all-4-one,1994,1,1,,
regulate,warren g & nate dogg,1994,2,1,,
any time any placeand on and on,janet jackson,1994,3,1,,
dont turn around,ace of base,1994,4,1,,
back  forth,aaliyah,1994,5,1,,
ill remember,madonna,1994,6,1,,
you mean the world to me,toni braxton,1994,7,1,,
stay,lisa loeb & nine stories,1994,8,1,,
baby i love your way,big mountain,1994,9,1,,
if you go,jon secada,1994,10,1,,
can you feel the love tonight,elton john,1994,11,1,,
anytime you need a friend,mariah carey,1994,12,1,,
the sign,ace of base,1994,13,1,,
your bodys callin,r. kelly,1994,14,1,,
the most beautiful girl in the world,prince,1994,15,1,,
funkdafied,da brat,1994,16,1,,
shine,collective soul,1994,17,1,,
fantastic voyage,coolio,1994,18,1,,
return to innocence,enigma,1994,19,1,,
dont take the girl,tim mcgraw,1994,20,1,,
i miss you,aaron hall,1994,21,1,,
wild night,john mellencamp,1994,22,1,,
beautiful in my eyes,joshua kadison,1994,23,1,,
im ready,tevin campbell,1994,24,1,,
crazy,aerosmith,1994,25,1,,
anything,swv,1994,26,1,,
always,erasure,1994,27,1,,
misled,celine dion,1994,28,1,,
got me waiting,heavy d & the boyz,1994,29,1,,
bump n grind,r. kelly,1994,30,1,,
come to my window,melissa etheridge,1994,31,1,,
ill take you there,general public,1994,32,1,,
willing to forgive,aretha franklin,1994,33,1,,
back in the day,ahmad,1994,34,1,,
moving on up,m people,1994,35,1,,
whatta man,salt-n-pepa featuring en vogue,1994,36,1,,
loser,beck,1994,37,1,,
mmm mmm mmm mmm,crash test dummies,1994,38,1,,
the place where you belong,shai,1994,39,1,,
now and forever,richard marx,1994,40,1,,
sweet potatoe pie,domino,1994,41,1,,
prayer for the dying,seal,1994,42,1,,
100 pure love,crystal waters,1994,43,1,,
some kind of wonderful,huey lewis & the news,1994,44,1,,
the power of love,celine dion,1994,45,1,,
without younever forget you,mariah carey,1994,46,1,,
pumps and a bump,m.c. hammer,1994,47,1,,
found out about you,gin blossoms,1994,48,1,,
sending my love,zhane,1994,49,1,,
love sneakin up on you,bonnie raitt,1994,50,1,,
fall down,toad the wet sprocket,1994,51,1,,
when can i see you,babyface,1994,52,1,,
objects in the rear view mirror may appear closer than,meat loaf,1994,53,1,,
always in my heart,tevin campbell,1994,54,1,,
ease my mind,arrested development,1994,55,1,,
bizarre love triangle,frente!,1994,56,1,,
selling the drama,live,1994,57,1,,
i need your love,boston,1994,58,1,,
worker man,patra,1994,59,1,,
and our feelings,babyface,1994,60,1,,
dreams,the cranberries,1994,61,1,,
love on my mind,xscape,1994,62,1,,
i wish,gabrielle,1994,63,1,,
backwater,meat puppets,1994,64,1,,
how do you like it,keith sweat,1994,65,1,,
streets of philadelphia,bruce springsteen,1994,66,1,,
im not over you,cece peniston,1994,67,1,,
born to roll,masta ace incorporated,1994,68,1,,
maybe love will change your mind,stevie nicks,1994,69,1,,
the flintstones,the b.c. 52's,1994,70,1,,
crooklyn,the crooklyn dodgers,1994,71,1,,
part time loverim still in love with you,h-town/al b. sure!,1994,72,1,,
take it back,pink floyd,1994,73,1,,
whats up,dj miko,1994,74,1,,
ill remember you,atlantic starr,1994,75,1,,
your love is so divine,miranda,1994,76,1,,
night in my veins,pretenders,1994,77,1,,
booti call,blackstreet,1994,78,1,,
players ball,outkast,1994,79,1,,
whenever you come around,vince gill,1994,80,1,,
closer,nine inch nails,1994,81,1,,
feenin,jodeci,1994,82,1,,
possession,sarah mclachlan,1994,83,1,,
indian outlaw,tim mcgraw,1994,84,1,,
regular thang,ovis,1994,85,1,,
sleeping in my car,roxette,1994,86,1,,
girls  boys,blur,1994,87,1,,
its over now,cause and effect,1994,88,1,,
you,candlebox,1994,89,1,,
old to the new,nice & smooth,1994,90,1,,
funky y2c,the puppies,1994,91,1,,
nappy heads,fugees,1994,92,1,,
comin on strong,sudden change,1994,93,1,,
cleopatras cat,spin doctors,1994,94,1,,
thinkin problem,david ball,1994,95,1,,
warriors drum,king just,1994,96,1,,
low,cracker,1994,97,1,,
90s girl,blackgirl,1994,98,1,,
nuttin but love,heavy d & the boyz,1994,99,1,,
the right kinda lover,patti labelle,1994,100,1,,
have you ever really loved a woman,bryan adams,1995,1,1,,
dont take it personal,monica,1995,2,1,,
one more chancestay with me,the notorious b.i.g.,1995,3,1,,
total eclipse of the heart,nicki french,1995,4,1,,
screamchildhood,michael jackson & janet jackson,1995,5,1,,
water runs dry,boyz ii men,1995,6,1,,
waterfalls,tlc,1995,7,1,,
ill be there for youyoure all i need to get by,method man featuring mary j. blige,1995,8,1,,
freak like me,adina howard,1995,9,1,,
this is how we do it,montell jordan,1995,10,1,,
let her cry,hootie & the blowfish,1995,11,1,,
i can love you like that,all-4-one,1995,12,1,,
i believe,blessid union of souls,1995,13,1,,
someone to love,jon b. featuring babyface,1995,14,1,,
runaround,blues traveler,1995,15,1,,
shy guy,diana king,1995,16,1,,
i know,dionne farris,1995,17,1,,
freekn you,jodeci,1995,18,1,,
every little thing i do,soul for real,1995,19,1,,
boombasticin the summertime,shaggy,1995,20,1,,
hold me thrill me kiss me kill me,u2,1995,21,1,,
this aint a love song,bon jovi,1995,22,1,,
keep their heads ringin,dr. dre,1995,23,1,,
misery,soul asylum,1995,24,1,,
cant you see,total featuring the notorious b.i.g.,1995,25,1,,
feel me flow,naughty by nature,1995,26,1,,
red light special,tlc,1995,27,1,,
run away,real mccoy,1995,28,1,,
hold on,jamie walters,1995,29,1,,
come and get your love,real mccoy,1995,30,1,,
in the house of stone and light,martin page,1995,31,1,,
december,collective soul,1995,32,1,,
my love is for real,paula abdul,1995,33,1,,
good,better than ezra,1995,34,1,,
best friend,brandy,1995,35,1,,
hold my hand,hootie & the blowfish,1995,36,1,,
no more i love yous,annie lennox,1995,37,1,,
give it 2 you,da brat,1995,38,1,,
dear mamaold school,2pac,1995,39,1,,
believe,elton john,1995,40,1,,
i like,kut klose,1995,41,1,,
colors of the wind,vanessa williams,1995,42,1,,
dream about youfunky melody,stevie b,1995,43,1,,
take a bow,madonna,1995,44,1,,
crazy love,brian mcknight,1995,45,1,,
you used to love me,faith evans,1995,46,1,,
any man of minewhose bed have your boots been under,shania twain,1995,47,1,,
you gotta be,des'ree,1995,48,1,,
another night,real mccoy,1995,49,1,,
i got 5 on it,luniz,1995,50,1,,
human nature,madonna,1995,51,1,,
leave virginia alone,rod stewart,1995,52,1,,
ask of you,raphael saadiq,1995,53,1,,
kiss from a rose,seal,1995,54,1,,
hes mine,mokenstef,1995,55,1,,
when you say nothing at all,alison krauss + union station,1995,56,1,,
sprinkle me,e-40,1995,57,1,,
baby baby,corona,1995,58,1,,
cotton eye joe,rednex,1995,59,1,,
i saw you dancing,yaki-da,1995,60,1,,
cant stop lovin you,van halen,1995,61,1,,
shimmy shimmy ya,ol' dirty bastard,1995,62,1,,
feels so good,xscape,1995,63,1,,
wonderful,adam ant,1995,64,1,,
somebodys crying,chris isaak,1995,65,1,,
like the way i doif i wanted to,melissa etheridge,1995,66,1,,
i wanna love like that,tony thompson,1995,67,1,,
i wish,skee-lo,1995,68,1,,
so in love with you,u.n.v.,1995,69,1,,
i kissed a girl,jill sobule,1995,70,1,,
sick of myself,matthew sweet,1995,71,1,,
freak me baby,"dis `n' dat 95 south,69 boyz & k-nock",1995,72,1,,
survival of the fittest,mobb deep,1995,73,1,,
close to you,fun factory,1995,74,1,,
grapevyne,brownstone,1995,75,1,,
mind blowin,smooth,1995,76,1,,
brown sugar,d'angelo,1995,77,1,,
strange currencies,r.e.m.,1995,78,1,,
froggy style,nuttin' nyce,1995,79,1,,
i live my life for you,firehouse,1995,80,1,,
big yellow taxi,amy grant,1995,81,1,,
connection,elastica,1995,82,1,,
i love youyou bring me joy,mary j. blige,1995,83,1,,
id rather be alone,iv xample,1995,84,1,,
foe life,mack 10,1995,85,1,,
emotions,h-town,1995,86,1,,
ill be around,rappin' 4-tay featuring the spinners,1995,87,1,,
the inc ride,masta ace incorporated,1995,88,1,,
thank you,boyz ii men,1995,89,1,,
freedom,various artists,1995,90,1,,
fire,subway,1995,91,1,,
im goin down,mary j. blige,1995,92,1,,
until the end of time,foreigner,1995,93,1,,
so many tears,2pac,1995,94,1,,
crimson and clover,sf spanish fly,1995,95,1,,
the bomb,the bucketheads,1995,96,1,,
mr personality,gillette,1995,97,1,,
i like it,grand puba,1995,98,1,,
lick it,roula,1995,99,1,,
as i lay me down,sophie b. hawkins,1995,100,1,,
tha crossroads,bone thugs-n-harmony,1996,1,1,,
youre makin me highlet it flow,toni braxton,1996,2,1,,
how do u want itcalifornia love,2pac featuring k-ci and jojo,1996,3,1,,
give me one reason,tracy chapman,1996,4,1,,
macarena,los del rio,1996,5,1,,
always be my baby,mariah carey,1996,6,1,,
because you loved me,celine dion,1996,7,1,,
theme from mission impossible,adam clayton & larry mullen,1996,8,1,,
why i love you so muchaint nobody,monica,1996,9,1,,
nobody knows,the tony rich project,1996,10,1,,
ironic,alanis morissette,1996,11,1,,
fastlove,george michael,1996,12,1,,
twisted,keith sweat,1996,13,1,,
cmon n ride it,quad city dj's,1996,14,1,,
kissin you,total,1996,15,1,,
youre the one,swv,1996,16,1,,
insensitive,jann arden,1996,17,1,,
who will save your soul,jewel,1996,18,1,,
touch me tease me,case featuring foxxy brown,1996,19,1,,
hay,crucial conflict,1996,20,1,,
sweet dreams,la bouche,1996,21,1,,
follow you downtil i hear it from you,gin blossoms,1996,22,1,,
the earth the sun the rain,color me badd,1996,23,1,,
children,robert miles,1996,24,1,,
get on up,jodeci,1996,25,1,,
blue,leann rimes,1996,26,1,,
only you,112 featuring the notorious b.i.g.,1996,27,1,,
until it sleeps,metallica,1996,28,1,,
its all the way live,coolio,1996,29,1,,
i like,montell jordan featuring slick rick,1996,30,1,,
old man  me,hootie & the blowfish,1996,31,1,,
counting blue cars,dishwalla,1996,32,1,,
sittin up in my room,brandy,1996,33,1,,
missing,everything but the girl,1996,34,1,,
tres delinquentes,delinquent habits,1996,35,1,,
someday,all-4-one,1996,36,1,,
jealousy,natalie merchant,1996,37,1,,
they dont care about us,michael jackson,1996,38,1,,
keep on keepin on,mc lyte featuring xscape,1996,39,1,,
wonder,natalie merchant,1996,40,1,,
flood,jars of clay,1996,41,1,,
be my lover,la bouche,1996,42,1,,
tonight tonight,the smashing pumpkins,1996,43,1,,
count on me,whitney houston & cece winans,1996,44,1,,
1 2 3 4,coolio,1996,45,1,,
your loving arms,billie ray martin,1996,46,1,,
1979,the smashing pumpkins,1996,47,1,,
back to the world,tevin campbell,1996,48,1,,
the world i know,collective soul,1996,49,1,,
you,monifah,1996,50,1,,
closer to free,bodeans,1996,51,1,,
the only thing that looks good on me is you,bryan adams,1996,52,1,,
i love you always forever,donna lewis,1996,53,1,,
reach,gloria estefan,1996,54,1,,
one by one,cher,1996,55,1,,
aint no niggadead presidents,jay-z featuring foxxy brown,1996,56,1,,
down low,r. kelly featuring ronald isley,1996,57,1,,
please dont go,immature,1996,58,1,,
woohah got you all in checkeverything remains raw,busta rhymes,1996,59,1,,
you still touch me,sting,1996,60,1,,
if i ruled the world,nas,1996,61,1,,
that girl,maxi priest featuring shaggy,1996,62,1,,
machinehead,bush,1996,63,1,,
forever more,puff johnson,1996,64,1,,
my boo,ghost town dj's,1996,65,1,,
for the love of you,jordan hill,1996,66,1,,
house keeper,men of vizion,1996,67,1,,
where do you go,no mercy,1996,68,1,,
ill never stop loving you,j'son,1996,69,1,,
wrong,everything but the girl,1996,70,1,,
where its at,beck,1996,71,1,,
scarred,luke,1996,73,1,,
release me,angelina,1996,74,1,,
redneck games,jeff foxworthy,1996,75,1,,
renee,lost boyz,1996,76,1,,
in the meantime,spacehog,1996,77,1,,
one more try,kristine w,1996,78,1,,
blackberry molasses,mista,1996,79,1,,
this is your night,amber,1996,80,1,,
only happy when it rains,garbage,1996,81,1,,
aint nobodykissing you,faith evans,1996,82,1,,
doin it,ll cool j,1996,83,1,,
where do we go from here,deborah cox,1996,84,1,,
5 oclock,nonchalant,1996,85,1,,
lady,d'angelo,1996,86,1,,
loungin,ll cool j,1996,87,1,,
dont wanna lose you,lionel richie,1996,88,1,,
amish paradise,"""weird al"" yankovic",1996,89,1,,
chains,tina arena,1996,90,1,,
cant get you off my mind,lenny kravitz,1996,91,1,,
in the hood,donell jones,1996,92,1,,
my maria,brooks & dunn,1996,93,1,,
you said,mona lisa,1996,94,1,,
macarena,los del mar,1996,95,1,,
guilty,gravity kills,1996,96,1,,
feel the music,planet soul featuring brenda dee,1996,97,1,,
boom biddy bye bye,cypress hill,1996,98,1,,
angeline is coming home,the badlees,1996,99,1,,
mr ice cream man,master p,1996,100,1,,
ill be missing you,puff daddy & faith evans featuring 112,1997,1,1,,
mmmbop,hanson,1997,2,1,,
bitch,meredith brooks,1997,3,1,,
return of the mack,mark morrison,1997,4,1,,
look into my eyes,bone thugs-n-harmony,1997,5,1,,
say youll be there,spice girls,1997,6,1,,
i belong to you,rome,1997,7,1,,
its your love,tim mcgraw,1997,8,1,,
ghettout,changing faces,1997,9,1,,
the freshmen,the verve pipe,1997,10,1,,
foolish gamesyou were meant for me,jewel,1997,11,1,,
do you know,robyn,1997,12,1,,
quit playing games,backstreet boys,1997,13,1,,
hard to say im sorry,az yet featuring peter cetera,1997,14,1,,
for you i will,monica,1997,15,1,,
smile,scarface featuring 2pac & johnny p,1997,16,1,,
semicharmed life,third eye blind,1997,17,1,,
i want you,savage garden,1997,18,1,,
cupid,112,1997,19,1,,
cant nobody hold me down,puff daddy,1997,20,1,,
where have all the cowboys gone,paula cole,1997,21,1,,
butterfly kisses,raybon bros.,1997,22,1,,
hypnotize,the notorious b.i.g.,1997,23,1,,
da dip,freak nasty,1997,24,1,,
barely breathing,duncan sheik,1997,25,1,,
you bring me up,k-ci & jojo,1997,26,1,,
go the distance,michael bolton,1997,27,1,,
how do i live,leann rimes,1997,28,1,,
dont wanna be a player,joe,1997,29,1,,
alone,bee gees,1997,30,1,,
i love me some himi dont want to,toni braxton,1997,31,1,,
espn presents the jock jam,various artists,1997,32,1,,
your woman,white town,1997,33,1,,
thinking of you,tony! toni! tone!,1997,34,1,,
call me,le click,1997,35,1,,
i believe i can fly,r. kelly,1997,36,1,,
smokin me out,warren g featuring ronald isley,1997,37,1,,
unbreak my heart,toni braxton,1997,38,1,,
every time i close my eyes,babyface,1997,39,1,,
i wanna be there,blessid union of souls,1997,40,1,,
5 miles to empty,brownstone,1997,41,1,,
secret garden,bruce springsteen,1997,42,1,,
how do i live,trisha yearwood,1997,43,1,,
dont let go,en vogue,1997,44,1,,
can u feel it,3rd party,1997,45,1,,
we trying to stay alive,wyclef jean featuring refugee allstars,1997,46,1,,
gimme some love,gina g,1997,47,1,,
my baby daddy,b-rock & the bizz,1997,48,1,,
its no good,depeche mode,1997,49,1,,
c u when u get there,coolio featuring 40 thevz,1997,50,1,,
thats right,dj taz featuring raheem the dream,1997,51,1,,
everyday is a winding road,sheryl crow,1997,52,1,,
one more time,real mccoy,1997,53,1,,
full of smoke,christion,1997,54,1,,
come on,billy lawrence featuring mc lyte,1997,55,1,,
6 underground,sneaker pimps,1997,56,1,,
until i find you again,richard marx,1997,57,1,,
for you,kenny lattimore,1997,58,1,,
rhythm of love,dj company,1997,59,1,,
a little bit of ecstasy,jocelyn enriquez,1997,60,1,,
staring at the sun,u2,1997,61,1,,
one more day,new edition,1997,62,1,,
sweet sexy thing,nu flavor featuring roger,1997,63,1,,
all by myself,celine dion,1997,64,1,,
heres your sign,bill engvall,1997,65,1,,
hip hop drunkies,tha alkaholiks featuring ol' dirty bastard,1997,66,1,,
let it go,ray j,1997,67,1,,
if i could change,"master p featuring steady mobb'n, mia x, mo b. dick & o'dell",1997,68,1,,
i shot the sheriff,warren g,1997,69,1,,
when i die,no mercy,1997,70,1,,
silent all these years,tori amos,1997,71,1,,
come with me,keith sweat,1997,72,1,,
just another case,cru featuring slick rick,1997,73,1,,
no one but you,veronica,1997,74,1,,
listen,collective soul,1997,75,1,,
the perfect drug,nine inch nails,1997,76,1,,
the world tonight,paul mccartney,1997,77,1,,
cant let go,laurnea,1997,78,1,,
things just aint the same,deborah cox,1997,79,1,,
if u stay ready,suga free,1997,80,1,,
my heart is calling,whitney houston,1997,81,1,,
da dip,mc luscious featuring kinsui,1997,82,1,,
love ii love,damage,1997,83,1,,
havana,kenny g,1997,84,1,,
just another day,john mellencamp,1997,85,1,,
whats stopping you,the o'jays,1997,86,1,,
gangstas make the world go round,westside connection,1997,87,1,,
insomnia,faithless,1997,88,1,,
too late too soon,jon secada,1997,89,1,,
jazzy belle,outkast,1997,90,1,,
blood on the dance floor,michael jackson,1997,91,1,,
get your groove on,gyrl,1997,92,1,,
big daddy,hev-d,1997,93,1,,
summertime summertime,corina,1997,94,1,,
serenade,shades,1997,95,1,,
you dont have to hurt no more,mint condition,1997,96,1,,
in my arms,erasure,1997,97,1,,
the new pollution,beck,1997,98,1,,
if tomorrow never comes,joose,1997,99,1,,
step by step,whitney houston,1997,100,1,,
the boy is mine,brandy & monica,1998,1,1,,
youre still the one,shania twain,1998,2,1,,
too close,next,1998,3,1,,
my all,mariah carey,1998,4,1,,
my way,usher,1998,5,1,,
come with me,puff daddy featuring jimmy page,1998,6,1,,
adia,sarah mclachlan,1998,7,1,,
everybody backstreets back,backstreet boys,1998,8,1,,
they dont know,jon b,1998,9,1,,
i get lonely,janet featuring blackstreet,1998,10,1,,
all my life,k-ci & jojo,1998,11,1,,
say it,voices of theory,1998,12,1,,
make it hot,"nicole featuring missy ""misdemeanor"" elliott & mocha",1998,13,1,,
truly madly deeply,savage garden,1998,14,1,,
sex and candy,marcy playground,1998,15,1,,
stop,spice girls,1998,16,1,,
the arms of the one who loves you,xscape,1998,17,1,,
i got the hook up,master p featuring sons of funk,1998,18,1,,
ghetto supastar,pras michel ol' dirty bastard & introducing mya,1998,19,1,,
looking through your eyes,leann rimes,1998,20,1,,
lets ride,montell jordan master p & silkk the shocker,1998,21,1,,
body bumpin yippieyiyo,public announcement,1998,22,1,,
whatcha gone do,link,1998,23,1,,
turn it up remixfire it up,busta rhymes,1998,24,1,,
i want you back,*nsync,1998,25,1,,
this kiss,faith hill,1998,26,1,,
hows it going to be,third eye blind,1998,27,1,,
shorty,imajin featuring keith murray,1998,28,1,,
when the lights go out,five,1998,29,1,,
gettin jiggy wit it,will smith,1998,30,1,,
no no no,destiny's child,1998,31,1,,
its all about me,mya & sisqo,1998,33,1,,
still not a player,big punisher featuring joe,1998,34,1,,
make em say uhh,"master p fiend, silkk the shocker, mia x & mystikal",1998,35,1,,
together again,janet,1998,36,1,,
heavens what i feel,gloria estefan,1998,37,1,,
i dont want to wait,paula cole,1998,38,1,,
raise the roof,luke featuring no good but so good,1998,39,1,,
frozen,madonna,1998,40,1,,
cheers 2 u,playa,1998,41,1,,
ava adore,the smashing pumpkins,1998,42,1,,
who am i,beenie man,1998,43,1,,
candle in the wind 1997something about the way you look tonight,elton john,1998,44,1,,
victory,puff daddy & the family featuring the notorious b.i.g. & busta rh,1998,45,1,,
money power  respect,the lox [featuring dmx & lil' kim],1998,46,1,,
what you want,mase featuring total,1998,47,1,,
ooh la la,rod stewart,1998,48,1,,
spark,tori amos,1998,49,1,,
you make me wanna,usher,1998,50,1,,
my heart will go on,celine dion,1998,51,1,,
you wont forget me,la bouche,1998,52,1,,
get at me dog,dmx featuring sheek of the lox,1998,53,1,,
push it,garbage,1998,54,1,,
theres your trouble,dixie chicks,1998,55,1,,
do your thing,7 mile,1998,56,1,,
wishlist,pearl jam,1998,57,1,,
imagination,tamia,1998,58,1,,
bitter sweet symphony,the verve,1998,59,1,,
cleopatras theme,cleopatra,1998,60,1,,
one heart at a time,various artists,1998,61,1,,
the cup of life,ricky martin,1998,62,1,,
black ice,goodie mob featuring outkast,1998,63,1,,
im alright,jo dee messina,1998,64,1,,
recover your soul,elton john,1998,65,1,,
ninety nine flash the message,john forte,1998,66,1,,
dingaling,hi-town djs,1998,67,1,,
freak out,nutta butta featuring teddy riley and anonymous,1998,68,1,,
crush,jennifer paige,1998,69,1,,
there you are,sam salter,1998,70,1,,
second round ko,canibus,1998,71,1,,
now that i found you,terri clark,1998,72,1,,
clock strikes,timbaland & magoo,1998,73,1,,
i just want to dance with you,george strait,1998,74,1,,
if you ever have forever in mind,vince gill,1998,75,1,,
money aint a thang,jd featuring jay-z,1998,77,1,,
cant we try,rockell [duet,1998,78,1,,
do for love,2pac featuring eric williams,1998,79,1,,
i do cherish you,mark wills,1998,80,1,,
a man holdin on,ty herndon,1998,81,1,,
2 way street,missjones,1998,82,1,,
the unforgiven ii,metallica,1998,83,1,,
the mummers dance,loreena mckennitt,1998,84,1,,
whatuon,latanya featuring twista,1998,85,1,,
know what you mean,sister 7,1998,86,1,,
a rose is still a rose,aretha franklin,1998,87,1,,
im from the country,tracy byrd,1998,88,1,,
party aint a party,"queen pen featuring teddy riley, nutta butta, markell & jesse wes",1998,89,1,,
