title,artist,year,chart_position,weeks_on_chart,decade,top10
midnight at the oasis,maria muldaur,1974,13,1,1970s,0.0
you make me feel brand new,the stylistics,1974,14,1,1970s,0.0
show and tell,al wilson,1974,15,1,1970s,0.0
rock on,david essex,1974,17,1,1970s,0.0
sunshine on my shoulders,john denver,1974,18,1,1970s,0.0
hooked on a feeling,blue swede,1974,20,1,1970s,0.0
band on the run,paul mccartney and wings,1974,22,1,1970s,0.0
the most beautiful girl,charlie rich,1974,23,1,1970s,0.0
time in a bottle,jim croce,1974,24,1,1970s,0.0
annies song,john denver,1974,25,1,1970s,0.0
let me be there,olivia newton-john,1974,27,1,1970s,0.0
sundown,gordon lightfoot,1974,28,1,1970s,0.0
rock me gently,andy kim,1974,29,1,1970s,0.0
boogie down,eddie kendricks,1974,30,1,1970s,0.0
youre sixteen,ringo starr,1974,31,1,1970s,0.0
if you love me,olivia newton-john,1974,32,1,1970s,0.0
dark lady,cher,1974,33,1,1970s,0.0
feel like makin love,roberta flack,1974,35,1,1970s,0.0
just dont want to be lonely,the main ingredient,1974,36,1,1970s,0.0
nothing from nothing,billy preston,1974,37,1,1970s,0.0
top of the world,carpenters,1974,39,1,1970s,0.0
the joker,the steve miller band,1974,40,1,1970s,0.0
ive got to use my imagination,gladys knight and the pips,1974,41,1,1970s,0.0
the show must go on,three dog night,1974,42,1,1970s,0.0
living for the city,stevie wonder,1974,44,1,1970s,0.0
then came you,dionne warwick and the spinners,1974,46,1,1970s,0.0
the night chicago died,paper lace,1974,47,1,1970s,0.0
the entertainer,marvin hamlisch,1974,48,1,1970s,0.0
waterloo,abba,1974,49,1,1970s,0.0
the air that i breathe,the hollies,1974,50,1,1970s,0.0
rikki dont lose that number,steely dan,1974,51,1,1970s,0.0
help me,joni mitchell,1974,53,1,1970s,0.0
you wont see me,anne murray,1974,54,1,1970s,0.0
you and me against the world,helen reddy,1974,57,1,1970s,0.0
be thankful for what you got,william devaughn,1974,60,1,1970s,0.0
hang on in there baby,johnny bristol,1974,61,1,1970s,0.0
eres tu,mocedades,1974,62,1,1970s,0.0
radar love,golden earring,1974,64,1,1970s,0.0
please come to boston,dave loggins,1974,65,1,1970s,0.0
keep on smilin,wet willie,1974,66,1,1970s,0.0
lookin for a love,bobby womack,1974,67,1,1970s,0.0
put your hands together,the o'jays,1974,68,1,1970s,0.0
on and on,gladys knight and the pips,1974,69,1,1970s,0.0
oh very young,cat stevens,1974,70,1,1970s,0.0
leave me alone,helen reddy,1974,71,1,1970s,0.0
goodbye yellow brick road,elton john,1974,72,1,1970s,0.0
oh my my,ringo starr,1974,74,1,1970s,0.0
for the love of money,the o'jays,1974,75,1,1970s,0.0
i shot the sheriff,eric clapton,1974,76,1,1970s,0.0
jet,paul mccartney and wings,1974,77,1,1970s,0.0
dont let the sun go down on me,elton john,1974,78,1,1970s,0.0
tubular bells,mike oldfield,1974,79,1,1970s,0.0
love song,anne murray,1974,80,1,1970s,0.0
hello its me,todd rundgren,1974,82,1,1970s,0.0
i love,tom t. hall,1974,83,1,1970s,0.0
clap for the wolfman,the guess who,1974,84,1,1970s,0.0
ill have to say i love you in a song,jim croce,1974,85,1,1970s,0.0
the lords prayer,sister janet mead,1974,86,1,1970s,0.0
trying to hold on to my woman,lamont dozier,1974,87,1,1970s,0.0
a very special love song,charlie rich,1974,89,1,1970s,0.0
my girl bill,jim stafford,1974,90,1,1970s,0.0
helen wheels,paul mccartney and wings,1974,91,1,1970s,0.0
my mistake was to love you,diana ross and marvin gaye,1974,92,1,1970s,0.0
wildwood weed,jim stafford,1974,93,1,1970s,0.0
beach baby,first class,1974,94,1,1970s,0.0
me and baby brother,war,1974,95,1,1970s,0.0
rockin roll baby,the stylistics,1974,96,1,1970s,0.0
i honestly love you,olivia newton-john,1974,97,1,1970s,0.0
call on me,chicago,1974,98,1,1970s,0.0
wild thing,fancy,1974,99,1,1970s,0.0
love will keep us together,captain & tennille,1975,1,1,1970s,1.0
rhinestone cowboy,glen campbell,1975,2,1,1970s,1.0
philadelphia freedom,elton john,1975,3,1,1970s,1.0
before the next teardrop falls,freddy fender,1975,4,1,1970s,1.0
my eyes adored you,frankie valli,1975,5,1,1970s,1.0
some kind of wonderful,grand funk,1975,6,1,1970s,1.0
fame,david bowie,1975,8,1,1970s,1.0
laughter in the rain,neil sedaka,1975,9,1,1970s,1.0
one of these nights,eagles,1975,10,1,1970s,1.0
thank god im a country boy,john denver,1975,11,1,1970s,0.0
jive talkin,bee gees,1975,12,1,1970s,0.0
best of my love,eagles,1975,13,1,1970s,0.0
lovin you,minnie riperton,1975,14,1,1970s,0.0
kung fu fighting,carl douglas,1975,15,1,1970s,0.0
black water,the doobie brothers,1975,16,1,1970s,0.0
ballroom blitz,sweet,1975,17,1,1970s,0.0
another somebody done somebody wrong song,b.j. thomas,1975,18,1,1970s,0.0
he dont love you,tony orlando & dawn,1975,19,1,1970s,0.0
at seventeen,janis ian,1975,20,1,1970s,0.0
pick up the pieces,average white band,1975,21,1,1970s,0.0
lady marmalade,labelle,1975,23,1,1970s,0.0
why cant we be friends,war,1975,24,1,1970s,0.0
love wont let me wait,major harris,1975,25,1,1970s,0.0
boogie on reggae woman,stevie wonder,1975,26,1,1970s,0.0
angie baby,helen reddy,1975,28,1,1970s,0.0
jackie blue,ozark mountain daredevils,1975,30,1,1970s,0.0
fire,ohio players,1975,31,1,1970s,0.0
magic,pilot,1975,32,1,1970s,0.0
please mr postman,carpenters,1975,33,1,1970s,0.0
sister golden hair,america,1975,34,1,1970s,0.0
lucy in the sky with diamonds,elton john,1975,35,1,1970s,0.0
mandy,barry manilow,1975,36,1,1970s,0.0
have you never been mellow,olivia newton-john,1975,37,1,1970s,0.0
could it be magic,barry manilow,1975,38,1,1970s,0.0
cats in the cradle,harry chapin,1975,39,1,1970s,0.0
wildfire,michael murphey,1975,40,1,1970s,0.0
im not in love,10cc,1975,43,1,1970s,0.0
i can help,billy swan,1975,44,1,1970s,0.0
fallin in love,"hamilton, joe frank & reynolds",1975,45,1,1970s,0.0
feelings,morris albert,1975,46,1,1970s,0.0
when will i be loved,linda ronstadt,1975,47,1,1970s,0.0
chevy van,sammy johns,1975,48,1,1970s,0.0
youre the first the last my everything,barry white,1975,49,1,1970s,0.0
please mr please,olivia newton-john,1975,50,1,1970s,0.0
youre no good,linda ronstadt,1975,51,1,1970s,0.0
walking in rhythm,the blackbyrds,1975,53,1,1970s,0.0
the way we weretry to remember,gladys knight and the pips,1975,54,1,1970s,0.0
midnight blue,melissa manchester,1975,55,1,1970s,0.0
dont call us well call you,sugarloaf/jerry corbetta,1975,56,1,1970s,0.0
poetry man,phoebe snow,1975,57,1,1970s,0.0
how long,ace,1975,58,1,1970s,0.0
express,b.t. express,1975,59,1,1970s,0.0
lady,styx,1975,61,1,1970s,0.0
bad time,grand funk,1975,62,1,1970s,0.0
only women bleed,alice cooper,1975,63,1,1970s,0.0
doctors orders,carol douglas,1975,64,1,1970s,0.0
one man womanone woman man,paul anka,1975,66,1,1970s,0.0
feel like makin love,bad company,1975,67,1,1970s,0.0
how sweet it is,james taylor,1975,68,1,1970s,0.0
dance with me,orleans,1975,69,1,1970s,0.0
cut the cake,average white band,1975,70,1,1970s,0.0
never can say goodbye,gloria gaynor,1975,71,1,1970s,0.0
i dont like to sleep alone,paul anka,1975,72,1,1970s,0.0
morning side of the mountain,donny & marie osmond,1975,73,1,1970s,0.0
get down get down,joe simon,1975,75,1,1970s,0.0
killer queen,queen,1975,76,1,1970s,0.0
